Title,cast,crew,genres,final_tag,movie_id
Harry Potter and the Philosopher's Stone,DanielRadcliffe RupertGrint,ChrisColumbus,Adventure Fantasy Family,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame. en witch christmasparty magic cuttingthecord halloween childhero broom chosenone frog fantasyworld basedonyoungadultnovel",671.0
R.I.P.D.,JeffBridges RyanReynolds,RobertSchwentke,Fantasy Action Comedy Crime,A recently slain cop joins a team of undead police officers working for the Rest in Peace Department and tries to find the man who murdered him. Based on the comic by Peter M. Lenkov. en gold policeoperation partner revenge undead ghost policedepartment,49524.0
Pirates of the Caribbean: The Curse of the Black Pearl,JohnnyDepp GeoffreyRush,GoreVerbinski,Adventure Fantasy Action,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple. en exoticisland blacksmith eastindiatradingcompany gold marriageproposal mutiny jamaica skeleton daughter governor woodeneye goldcoin pirate alcoholic swashbuckler caribbean aftercreditsstinger pirateship capuchinmonkey tortuga",22.0
The Hunger Games: Mockingjay - Part 1,JenniferLawrence JoshHutcherson,FrancisLawrence,ScienceFiction Adventure Thriller,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol. en resistance post-apocalyptic dystopia war sequel femaleprotagonist bowandarrow game futurewar revolt classprejudice humansubjugation basedonyoungadultnovel,131631.0
The Da Vinci Code,TomHanks AudreyTautou,RonHoward,Thriller Mystery,"When the curator of the Louvre is found murdered in the famed museum's hallowed halls, Harvard professor, Robert Langdon and cryptographer, Sophie Neve must untangle a deadly web of deceit involving the works of Leonardo da Vinci. en paris holygrail christianity monk basedonnovel zurich secretsociety louvre curator symbologist opusdei heresy monalisa freemason conspiracy pentagram tomb catholicism cryptologist iconography albino sect",591.0
Rio 2,JesseEisenberg AnneHathaway,CarlosSaldanha,Animation Adventure Comedy Family,"It's a jungle out there for Blu, Jewel and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel, and meets the most fearsome adversary of all: his father-in-law. en bird sequel jungle audition amazonrainforest parrots",172385.0
X2,PatrickStewart HughJackman,BryanSinger,Adventure Action ScienceFiction Thriller,"Professor Charles Xavier and his team of genetically gifted superheroes face a rising tide of anti-mutant sentiment led by Col. William Stryker. Storm, Wolverine and Jean Grey must join their usual nemeses –  Magneto and Mystique – to unhinge Stryker's scheme to exterminate all mutants. en mutant marvelcomic superhero basedoncomicbook superhuman",36658.0
Fast Five,VinDiesel PaulWalker,JustinLin,Action Thriller Crime,"Former cop Brian O'Conner partners with ex-con Dom Toretto on the opposite side of the law. Since Brian and Mia Toretto broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom. en brazil fbi freedom escapefromprison carcrash heist organizedcrime ontherun money fugitive policechase escapedconvict car imax automobileracing duringcreditsstinger",51497.0
Sherlock Holmes: A Game of Shadows,RobertDowneyJr. JudeLaw,GuyRitchie,Adventure Action Crime Mystery,"There is a new criminal mastermind at large (Professor Moriarty) and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the  detective. en detectiveinspector steampunk criminalmastermind",58574.0
Clash of the Titans,SamWorthington LiamNeeson,LouisLeterrier,Adventure Fantasy Action,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny. en hades mythology greekmythology zeus medusa mythologicalbeast seamonster perseus kraken gods ancientgreece basedongreekmyth 3d",18823.0
Total Recall,ArnoldSchwarzenegger SharonStone,PaulVerhoeven,Action Adventure ScienceFiction,"Construction worker Douglas Quaid discovers a memory chip in his brain during a virtual-reality trip. He also finds that his past has been invented to conceal a plot of planetary domination. Soon, he's off to Mars to find out who he is and who planted the chip. en oxygen falselyaccused resistance mars doublelife telepathy mutant hologram spacecolony falseidentity secretagent dystopia cyberpunk falsememory implantedmemory",861.0
The 13th Warrior,AntonioBanderas VladimirKulich,JohnMcTiernan,Adventure Fantasy Action,"In AD 922, Arab courtier, Ahmad Ibn Fadlan accompanies a party of Vikings to the barbaric North to combat a terror that slaughters Vikings and devours their flesh. en witch cave arabian scandinavia bagdad viking iraq war mission",1911.0
The Bourne Legacy,JeremyRenner RachelWeisz,TonyGilroy,Action Thriller,"New CIA operative, Aaron Cross experiences life-or-death stakes that have been triggered by the previous actions of Jason Bourne. en assassin wolf maryland suicidebygunshot rooftop explodinghouse laptop trackingdevice fakeid seoulsouthkorea pharmaceuticallab governmentconspiracy roofchase manilaphilippines hunted falsepassport albertacanada lieutenantgeneral",49040.0
Batman & Robin,GeorgeClooney ChrisO'Donnell,JoelSchumacher,Action Crime Fantasy,"Along with crime-fighting partner Robin and new recruit Batgirl, Batman battles the dual threat of frosty genius Mr. Freeze and homicidal horticulturalist Poison Ivy. Freeze plans to put Gotham City on ice, while Ivy tries to drive a wedge between the dynamic duo. en doublelife dccomics dualidentity crimefighter fictionalplace gothamcity superhero creditcard superpowers",415.0
How the Grinch Stole Christmas,JimCarrey TaylorMomsen,RonHoward,Family Comedy Fantasy,"Inside a snowflake exists the magical land of Whoville. In Whoville, live the Whos, an almost mutated sort of Munchkin-like people. All the Whos love Christmas, yet just outside of their beloved Whoville lives the Grinch. The Grinch is a nasty creature that hates Christmas, and plots to steal it away from the Whos, whom he equally abhors. Yet a small child, Cindy Lou Who, decides to try befriending the Grinch. en holiday christmasparty newlove santaclaus village kidsandfamily",8871.0
The Day After Tomorrow,DennisQuaid JakeGyllenhaal,RolandEmmerich,Action Adventure ScienceFiction Thriller,"After years of increases in the greenhouse effect,  havoc is wreaked globally in the form of catastrophic hurricanes, tornadoes, tidal waves, floods and the beginning of a new Ice Age. Paleoclimatologist, Jack Hall tries to warn the world while also shepherding to safety his son, trapped in New York after the city is overwhelmed by the start of the new big freeze. en savingtheworld library cataclysm climatechange greenhouseeffect tornado twister hurricane hail temperaturedrop iceage polarzone meteorology gulfstream barrierice icemelting thirdworld exodus evacuation climate government snow losangeles scientist doomsday antarctic disastermovie",435.0
Mission: Impossible II,TomCruise DougrayScott,JohnWoo,Adventure Action Thriller,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude. en terror spain cia helicopter secretidentity skyscraper undercover island ex-lover secretmission dyinganddeath secretagent computer duel lethalvirus violence rescueteam agent car researchlaboratory",955.0
The Perfect Storm,GeorgeClooney MarkWahlberg,WolfgangPetersen,Drama,"In October 1991, a confluence of weather conditions combined to form a killer storm in the North Atlantic. Caught in the storm was the sword-fishing boat Andrea Gail. Magnificent foreshadowing and anticipation fill this true-life drama while minute details of the fishing boats, their gear and the weather are juxtaposed with the sea adventure. en u.s.airforce grocery jamaican meteorologist rescueboat marina cityhall theflemishcap malecamaraderie stormatsea",2133.0
Fantastic 4: Rise of the Silver Surfer,IoanGruffudd JessicaAlba,TimStory,Adventure Fantasy Action Thriller,"The Fantastic Four return to the big screen as a new and all powerful enemy threatens the Earth. The seemingly unstoppable 'Silver Surfer', but all is not what it seems and there are old and new enemies that pose a greater threat than the intrepid superheroes realize. en fire helicopter surfboard mask satellite airplane transformation forest resurrection marvelcomic sequel superhero basedoncomicbook outerspace wedding explosion scientist interrogation doublecross fantasticfour military earthinperil superhumanstrength duringcreditsstinger invisibility silversurfer forcefield elasticity absorbingpower",1979.0
Life of Pi,SurajSharma IrrfanKhan,AngLee,Adventure Drama Action,"The story of an Indian boy named Pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean. en ocean shipwreck hindu tiger faith zookeeper teenageboy cargoship lifeboat injuredanimal",87827.0
Ghost Rider,NicolasCage EvaMendes,MarkStevenJohnson,Thriller Action Fantasy Horror,"In order to save his dying father, young stunt cyclist, Johnny Blaze sells his soul to Mephistopheles and sadly parts from the pure-hearted, Roxanne Simpson, the love of his life. Years later, Johnny's path crosses again with Roxanne, now a go-getting reporter, and also with Mephistopheles, who offers to release Johnny's soul if Johnny becomes the fabled, fiery 'Ghost Rider'. en mephisto religionandsupernatural dyinganddeath devil'sson ghostworld stunts flame basedoncomicbook",1250.0
Jason Bourne,MattDamon AliciaVikander,PaulGreengrass,Action Thriller,The most dangerous former operative of the CIA is drawn out of hiding to uncover hidden truths about his past. en assassin amnesia flashback,324668.0
Charlie's Angels: Full Throttle,CameronDiaz DrewBarrymore,McG,Action Adventure Comedy,"The Angels are charged with finding a pair of missing rings that are encoded with the personal information of members of the Witness Protection Program. As informants are killed, the ladies target a rogue agent who might be responsible. en robbery secretidentity secretagent",9471.0
Prometheus,NoomiRapace MichaelFassbender,RidleyScott,ScienceFiction Adventure Mystery,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race. en android dystopia alien spinoff creation emergencysurgery aftercreditsstinger stasis archeologicaldig godcomplex cavedrawing geneticmutation originsoflife",70981.0
Stuart Little 2,MichaelJ.Fox GeenaDavis,RobMinkoff,Family Adventure Animation Comedy,"Stuart, an adorable white mouse, still lives happily with his adoptive family, the Littles, on the east side of Manhattan's Central Park. More crazy mouse adventures are in store as Stuart, his human brother, George, and their mischievous cat, Snowbell, set out to rescue a friend. en mouse falcon bird friendship family",10996.0
Elysium,MattDamon JodieFoster,NeillBlomkamp,ScienceFiction Action Drama Thriller,"In the year 2159, two classes of people exist: the very wealthy who live on a pristine man-made space station called Elysium, and the rest, who live on an overpopulated, ruined Earth. Secretary Rhodes (Jodie Foster), a hard line government ofﬁcial, will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn’t stop the people of Earth from trying to get in, by any means they can. When unlucky Max (Matt Damon) is backed into a corner, he agrees to take on a daunting mission that, if successful, will not only save his life, but could bring equality to these polarized worlds. en dystopia spacestation classconflict",68724.0
The Chronicles of Riddick,VinDiesel ThandieNewton,DavidTwohy,Action ScienceFiction,"After years of outrunning ruthless bounty hunters, escaped convict Riddick suddenly finds himself caught between opposing forces in a fight for the future of the human race. Now, waging incredible battles on fantastic and deadly worlds, this lone, reluctant hero will emerge as humanity's champion - and the last hope for a universe on the edge of annihilation. en prison dystopia matteroflifeanddeath outerspace intergalactictravel",2789.0
RoboCop,JoelKinnaman GaryOldman,JoséPadilha,Action ScienceFiction,"In RoboCop, the year is 2028 and multinational conglomerate OmniCorp is at the center of robot technology.  Overseas, their drones have been used by the military for years, but have been forbidden for law enforcement in America.  Now OmniCorp wants to bring their controversial technology to the home front, and they see a golden opportunity to do it.  When Alex Murphy – a loving husband, father and good cop doing his best to stem the tide of crime and corruption in Detroit – is critically injured, OmniCorp sees their chance to build a part-man, part-robot police officer.  OmniCorp envisions a RoboCop in every city and even more billions for their shareholders, but they never counted on one thing: there is still a man inside the machine. en cyborg future dystopia police remake violence detroit",97020.0
Speed Racer,EmileHirsch ChristinaRicci,LillyWachowski LanaWachowski,Action Family ScienceFiction,"Speed Racer is the tale of a young and brilliant racing driver. When corruption in the racing leagues costs his brother his life, he must team up with the police and the mysterious Racer X to bring an end to the corruption and criminal activities. Inspired by the cartoon series. en carrace lossofbrother chimp family duringcreditsstinger womandirector",7459.0
How Do You Know,ReeseWitherspoon PaulRudd,JamesL.Brooks,Comedy Drama Romance,"After being cut from the USA softball team and feeling a bit past her prime, Lisa finds herself evaluating her life and in the middle of a love triangle, as a corporate guy in crisis competes with her current, baseball-playing beau. en lovetriangle baseball athlete aftercreditsstinger",42888.0
Knight and Day,TomCruise CameronDiaz,JamesMangold,Action Comedy,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust. en spy airport gasstation garage pilot chase secretagent rope explodingbuilding carchase policecar boygenius duringcreditsstinger",37834.0
Oblivion,TomCruise MorganFreeman,JosephKosinski,Action ScienceFiction Adventure Mystery,"Jack Harper is one of the last few drone repairmen stationed on Earth.  Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete.  His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft.  Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands. en spacecraft dystopia space drone imax humanvsalien",75612.0
Star Wars: Episode III - Revenge of the Sith,EwanMcGregor NataliePortman,GeorgeLucas,ScienceFiction Adventure Action,"Years after the onset of the Clone Wars, the noble Jedi Knights lead a massive clone army into a galaxy-wide battle against the Separatists. When the sinister Sith unveil a thousand-year-old plot to rule the galaxy, the Republic crumbles and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker is seduced by the dark side of the Force to become the Emperor's new apprentice – Darth Vader. The Jedi are decimated, as Obi-Wan Kenobi and Jedi Master Yoda are forced into hiding. The only hope for the galaxy are Anakin's own offspring – the twin children born in secrecy who will grow up to become heroes. en showdown deathstar vision cultfigure hatred dreamsequence expectantmother spaceopera chancel childbirth galacticwar",1895.0
Star Wars: Episode II - Attack of the Clones,EwanMcGregor NataliePortman,GeorgeLucas,Adventure Action ScienceFiction,"Ten years after the invasion of Naboo, the galaxy is on the brink of civil war. Under the leadership of a renegade Jedi named Count Dooku, thousands of solar systems threaten to break away from the Galactic Republic. When an assassination attempt is made on Senator Padmé Amidala, the former Queen of Naboo, twenty-year-old Jedi apprentice Anakin Skywalker is assigned to protect her. In the course of his mission, Anakin discovers his love for Padmé as well as his own darker side. Soon, Anakin, Padmé, and Obi-Wan Kenobi are drawn into the heart of the Separatist movement and the beginning of the Clone Wars. en senate investigation army deathstar jedi cultfigure wedding violence kendo lasergun spaceopera spaceport teenagerebellion goodbecomingevil alienrace mechanicalhand yoda",1894.0
"Monsters, Inc.",JohnGoodman BillyCrystal,PeteDocter,Animation Comedy Family,"James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world. en monster infant energysupply company rivalry hijinks bestfriend scream conveyorbelt energycompany friend",585.0
The Wolverine,HughJackman HiroyukiSanada,JamesMangold,Action ScienceFiction Adventure Fantasy,"Wolverine faces his ultimate nemesis - and tests of his physical, emotional, and mortal limits - in a life-changing voyage to modern-day Japan. en japan samurai mutant worldwari marvelcomic superhero basedoncomicbook superhuman duringcreditsstinger",76170.0
Star Wars: Episode I - The Phantom Menace,LiamNeeson EwanMcGregor,GeorgeLucas,Adventure Action ScienceFiction,"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi. en prophecy senate queen taskmaster galaxy apprentice taxes spaceopera",1893.0
The Croods,NicolasCage EmmaStone,ChrisSanders KirkDeMicco,Adventure Animation Comedy Family Fantasy,"The Croods is a prehistoric comedy adventure that follows the world's first family as they embark on a journey of a lifetime when the cave that has always shielded them from danger is destroyed. Traveling across a spectacular landscape, the Croods discover an incredible new world filled with fantastic creatures -- and their outlook is changed forever. en stoneage daughter father prehistoric ancientworld fatherdaughterrelationship family cavemen aftercreditsstinger duringcreditsstinger",49519.0
Asterix at the Olympic Games,ClovisCornillac GérardDepardieu,ThomasLangmann FrédéricForestier,Fantasy Adventure Comedy Family,"Astérix and Obélix have to win the Olympic Games in order to help their friend Alafolix marry Princess Irina (portrayed by supermodel Vanessa Hessler). Brutus (Benoît Poelvoorde) uses every trick in the book to have his own team win the game, and get rid of his father Julius Caesar (Alain Delon) in the process. fr competition greece colosseum olympicgames emperor magic horse roman wildboar governance galier",2395.0
Windtalkers,NicolasCage AdamBeach,JohnWoo,Drama Action History War,"Joe Enders is a gung-ho Marine assigned to protect a ""windtalker"" - one of several Navajo Indians who were used to relay messages during World War II because their spoken language was indecipherable to Japanese code breakers. en japan worldwarii radiotransmission marinecorps u.s.army code navajo pacificwar",12100.0
The Huntsman: Winter's War,ChrisHemsworth CharlizeTheron,CedricNicolas-Troyan,Action Adventure Drama,"As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them. en witch magic fairytale snowwhite huntsman",290595.0
Teenage Mutant Ninja Turtles,MeganFox WillArnett,JonathanLiebesman,ScienceFiction Action Adventure Fantasy Comedy,The city needs heroes. Darkness has settled over New York City as Shredder and his evil Foot Clan have an iron grip on everything from the police to the politicians. The future is grim until four unlikely outcast brothers rise from the sewers and discover their destiny as Teenage Mutant Ninja Turtles. The Turtles must work with fearless reporter April and her wise-cracking cameraman Vern Fenwick to save the city and unravel Shredder's diabolical plan. en martialarts terrorist hero mutation van turtle vigilante superhero basedoncomicbook ninja newyorkcity sewer reboot scienceexperiment 3d,98566.0
Gravity,SandraBullock GeorgeClooney,AlfonsoCuarón,ScienceFiction Thriller Drama,"Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space. en spacemission loss space astronaut trappedinspace",49047.0
Dante's Peak,PierceBrosnan LindaHamilton,RogerDonaldson,Action Adventure Thriller,"Volcanologist Harry Dalton comes to the sleepy town of Dante's Peak to investigate the recent rumblings of the dormant volcano the burg is named for. Before long, his worst fears are realized when a massive eruption hits, and immediately, Harry, the mayor and the townspeople find themselves fighting for their lives amid a catastrophic nightmare. en helicopter smalltown mayor evacuation motel lava volcano cabin lovers naturaldisaster partnership volcanologist rescue explosion scientist seismograph volcaniceruption rowboat catastrophe acid countyfair abandonedmine volcanicash",9619.0
Teenage Mutant Ninja Turtles: Out of the Shadows,MeganFox StephenAmell,DaveGreen,Fantasy Action Adventure Comedy,"After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang. en brotherbrotherrelationship turtle sequel basedoncomicbook ninja rat",308531.0
Fantastic Four,MilesTeller KateMara,JoshTrank,Action Adventure ScienceFiction,"Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy. en teleportation transformation telekinesis portal marvelcomic superhero basedoncomicbook superheroteam fantasticfour bodyhorror invisiblewoman",166424.0
Night at the Museum,BenStiller JakeCherry,ShawnLevy,Action Adventure Comedy Family Fantasy,"Chaos reigns at the natural history museum when night watchman Larry Daley accidentally stirs up an ancient curse, awakening Attila the Hun, an army of gladiators, a Tyrannosaurus rex and other exhibits. Larry tries desperately to keep the museum under control, but he's fighting a losing battle until President Teddy Roosevelt comes to the rescue. en museum skeleton nightshift chaos genghiskhan mayacivilization naturalhistory theodoreroosevelt dinosaur basedonchildren'sbook magicalobject securityguard duringcreditsstinger inanimateobjectscomingtolife",1593.0
San Andreas,DwayneJohnson AlexandraDaddario,BradPeyton,Action Drama Thriller,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter. en california earthquake catastrophe disasterfilm 3d sanandreas sanandreascalifornia rescueoperation",254128.0
Tomorrow Never Dies,PierceBrosnan JonathanPryce,RogerSpottiswoode,Adventure Action Thriller,A deranged media mogul is staging international incidents to pit the world's superpowers against each other. Now 007 must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium. en londonengland england spy china newsbroadcast intelligence television missile manipulationofthemedia secretintelligenceservice specialcar tvstation mediatycoon navy motorcycle secretservice hamburggermany,714.0
The Patriot,MelGibson HeathLedger,RolandEmmerich,Drama History War Action,"After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son. en rebel southernusa lossofson martialarts general lossoffamily passion insurgence french daughter southcarolina british basedontruestory gore mission",2024.0
Ocean's Twelve,GeorgeClooney BradPitt,StevenSoderbergh,Thriller Crime,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels. en sequel fabergéegg dutcheastindiancompany second part goldenegg goon",163.0
Mr. & Mrs. Smith,AngelinaJolie BradPitt,DougLiman,Action Comedy Drama Thriller,"After five (or six) years of vanilla-wedded bliss, ordinary suburbanites John and Jane Smith are stuck in a huge rut. Unbeknownst to each other, they are both coolly lethal, highly-paid assassins working for rival organisations. When they discover they're each other's next target, their secret lives collide in a spicy, explosive mix of wicked comedy, pent-up passion, nonstop action and high-tech weaponry. en bomb assassin secretidentity secret assaultrifle gun marriedcouple hitman decoy marriagecrisis marriage job dysfunctionalmarriage gunfight bulletwound",787.0
Insurgent,ShaileneWoodley TheoJames,RobertSchwentke,Adventure ScienceFiction Thriller,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart. en basedonnovel revolution dystopia sequel dystopicfuture youngadult 3d divergent,262500.0
The Aviator,LeonardoDiCaprio CateBlanchett,MartinScorsese,Drama,"A biopic depicting the life of filmmaker and aviation pioneer Howard Hughes from 1927 to 1947, during which time he became a successful film producer and an aviation magnate, while simultaneously growing more unstable due to severe obsessive-compulsive disorder. en ladykiller pilot biography womanizer aviation phobia u.s.congress flyingboat testflight",2567.0
Gulliver's Travels,JackBlack AmandaPeet,RobLetterman,Comedy,"Travel writer Lemuel Gulliver takes an assignment in Bermuda, but ends up on the island of Liliput, where he towers over its tiny citizens. en journalist forbiddenlove princess royalcourt 3d",38745.0
The Green Hornet,SethRogen JayChou,MichelGondry,Action Crime Comedy,"Britt Reid (Seth Rogen), the heir to the largest newspaper fortune in Los Angeles, is a spoiled playboy who has been, thus far, happy to lead an aimless life. After his father (Tom Wilkinson) dies, Britt meets Kato (Jay Chou), a resourceful company employee. Realizing that they have the talent and resources to make something of their lives, Britt and Kato join forces as costumed crime-fighters to bring down the city's most-powerful criminal, Chudnofsky (Christoph Waltz). en bomb martialarts assassin vandalism nightclub training knife party playboy superhero revenge trap violence kato carchase methlab",40805.0
300: Rise of an Empire,SullivanStapleton EvaGreen,NoamMurro,Action War,"Based on Frank Miller's latest graphic novel Xerxes and told in the breathtaking visual style of the blockbuster ""300,"" this new chapter of the epic saga takes the action to a fresh battlefield--on the sea--as Greek general Themistokles attempts to unite all of Greece by leading the charge that will change the course of the war. ""300: Rise of an Empire"" pits Themistokles against the massive invading Persian forces led by mortal-turned-god Xerxes and Artemesia, the vengeful commander of the Persian navy. en basedongraphicnovel ancientgreece duringcreditsstinger seabattle handtohandcombat minions navalwarfare 3d",53182.0
The Smurfs,HankAzaria NeilPatrickHarris,RajaGosnell,Animation Family Adventure Comedy Fantasy,"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world and into ours -- in fact, smack dab in the middle of Central Park. Just three apples high and stuck in the Big Apple, the Smurfs must find a way to get back to their village before Gargamel tracks them down. en moon magic basedoncomicbook animation goodvsevil smurf blue vortex mischief catandmouse duringcreditsstinger",41513.0
Home on the Range,RoseanneBarr JudiDench,WillFinn JohnSanford,Animation Family,"When a greedy outlaw schemes to take possession of the ""Patch Of Heaven"" dairy farm, three determined cows, a karate-kicking stallion and a colorful corral of critters join forces to save their home. The stakes are sky-high as this unlikely animal alliance risk their hides and match wits with a mysterious band of bad guys. en farm cow animal",13700.0
Allegiant,ShaileneWoodley TheoJames,RobertSchwentke,Adventure ScienceFiction,Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare. en basedonnovel revolution dystopia sequel dystopicfuture youngadult basedonyoungadultnovel,262504.0
Real Steel,HughJackman DakotaGoyo,ShawnLevy,Action ScienceFiction Drama,"In the near-future, Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After Charlie's robot is trashed, he reluctantly teams up with his estranged son Max to rebuild and train an unlikely contender. en fathersonrelationship fight sport robot prizefighting fathersonreunion robotfighting",39254.0
The Smurfs 2,HankAzaria NeilPatrickHarris,RajaGosnell,Fantasy Family Comedy Animation,"The evil wizard Gargamel creates a couple of mischievous Smurf-like creatures called the Naughties that he hopes will let him harness the all-powerful, magical Smurf-essence. But when he discovers that only a real Smurf can give him what he wants, and only a secret spell that Smurfette knows can turn the Naughties into real Smurfs, Gargamel kidnaps Smurfette and brings her to Paris, where he has been winning the adoration of millions as the world¹s greatest sorcerer. It's up to Papa, Clumsy, Grouchy, and Vanity to return to our world, reunite with their human friends Patrick and Grace Winslow, and rescue her! Will Smurfette, who has always felt different from the other Smurfs, find a new connection with the Naughties Vexy and Hackus or will the Smurfs convince her that their love for her is True Blue? en basedoncartoon animation smurf",77931.0
Speed 2: Cruise Control,SandraBullock JasonPatric,JandeBont,Action Adventure Thriller,Sandra Bullock and Jason Patric star as a young couple whose dream cruise turns to terror when a lunatic computer genius (Willem Dafoe) sets a new course for destruction. en boat cruise computer disaster diamond collisioncourse,1639.0
Ender's Game,AsaButterfield HarrisonFord,GavinHood,ScienceFiction Action Adventure,"Based on the classic novel by Orson Scott Card, Ender's Game is the story of the Earth's most gifted children training to defend their homeplanet in the space wars of the future. en basedonnovel intolerance chosenone childprodigy futuristic space sciencefiction alieninvasion militaryschool moralitytale basedonyoungadultnovel",80274.0
Live Free or Die Hard,BruceWillis JustinLong,LenWiseman,Action Thriller,"John McClane is back and badder than ever, and this time he's working for Homeland Security. He calls on the services of a young hacker in his bid to stop a ring of Internet terrorists intent on taking control of America's computer infrastructure. en usa washingtond.c. helicopter hostage fbi kidnapping hacker satellite transportofprisoners trafficjam fistfight ex-cop sequel suspense shootout explosion violence cellphone carchase policecar walkietalkie basedonarticle cyberterrorism actionhero powerplant",1571.0
The Lord of the Rings: The Fellowship of the Ring,ElijahWood IanMcKellen,PeterJackson,Adventure Fantasy Action,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed. en elves dwarves orcs middle-earth(tolkien) hobbit basedonnovel mountains fireworks castle volcano password deathofafriend uncle mirror wizard swordandsorcery",120.0
Around the World in 80 Days,JackieChan SteveCoogan,FrankCoraci,Action Adventure Comedy,"A bet pits a British inventor, a Chinese thief and a French artist on a worldwide adventure that they can circle the globe in 80 days. en paris londonengland newyork julesverne sanfrancisco istanbul hotairballoon journeyroundtheworld",10204.0
